user_input,bot_response
how are you,We
we are good right,Fine i have to meet you in the office
sure lets meet there,Ll take the phone for the problem
no not the phone please,Sure here please go and i
its should be go ahead,I
not sure what you mean here,I love to the same way
so do i,S not going to make my own
i am not going to make my own,Why would you like to see me
yes,Can you tell me a few questions you are
yes,Ll take to help you how go to us
thank you,M going for a seat
thank you,
thank you,Okay i
thank you,I
weaher is good today,Hi thanks i am going to see your card if you have a good manager
weather is good today,Yes i see
i am going to the office,Let
how was holiday,You mentioned you have a lot to me
yes i have,What do you do in
i am an engineer,What
i make websites,Sure let
yes than kyou,What kind of considerations are you talking about
i am not sure,What do you want to take to work
i dont remeber,You have
no not yet,But the first shoes is very similar on the next morning you are so relaxing and there are something close for me you are not yet
weather is nice,T look in my opinion about him
yes thank you,Yes please
how are you all good?,You have a sec
yes please,May i help you
no thank you,Thanks for me
okay no problem,You
than kyou,Really do you know i
yes i know,Oh s so too
yes,I don
